OpenTime,Open,High,Low,Close,TickVolume
2020-07-31 13:00:00.0000000,10718.75,10930.45,10712.85,10925.15,78474
2020-08-02 17:00:00.0000000,10913.45,10942.25,10885.35,10935.75,17219
2020-08-02 21:00:00.0000000,10935.75,10964.25,10920.15,10939.95,24813
2020-08-03 01:00:00.0000000,10940.15,10963.85,10909.35,10947.45,31696
2020-08-03 05:00:00.0000000,10947.15,11014.45,10937.15,10999.85,27687
2020-08-03 09:00:00.0000000,10999.75,11077.25,10981.65,11052.05,93681
2020-08-03 13:00:00.0000000,11052.25,11082.85,11026.45,11062.15,65398
2020-08-03 17:00:00.0000000,11048.35,11062.35,11036.65,11053.25,10525
2020-08-03 21:00:00.0000000,11053.35,11080.25,11045.25,11063.95,22788
2020-08-04 01:00:00.0000000,11064.45,11101.15,10996.65,11017.35,41995
2020-08-04 05:00:00.0000000,11017.35,11037.85,10992.55,11012.95,32390
2020-08-04 09:00:00.0000000,11012.95,11091.75,11008.65,11036.55,89692
2020-08-04 13:00:00.0000000,11036.85,11104.25,10997.95,11087.35,59051
2020-08-04 17:00:00.0000000,11083.25,11093.05,11068.75,11082.25,12297
2020-08-04 21:00:00.0000000,11082.55,11112.85,11065.75,11103.35,24931
2020-08-05 01:00:00.0000000,11103.35,11148.15,11099.05,11136.6,32153
2020-08-05 05:00:00.0000000,11136.45,11153.85,11094.25,11097.85,29562
2020-08-05 09:00:00.0000000,11097.55,11138.65,11075.35,11112.25,92264
2020-08-05 13:00:00.0000000,11112.25,11132.15,11080.95,11106.05,49817
2020-08-05 17:00:00.0000000,11098.15,11125.65,11093.35,11123.15,12224
2020-08-05 21:00:00.0000000,11123.35,11133.85,11076.95,11091.75,31816
2020-08-06 01:00:00.0000000,11090.85,11136.35,11088.65,11098.75,36837
2020-08-06 05:00:00.0000000,11098.35,11122.35,11059.85,11113.95,34570
2020-08-06 09:00:00.0000000,11113.95,11181.95,11082.25,11181.55,89792
2020-08-06 13:00:00.0000000,11181.05,11279.75,11170.05,11267.15,62718
2020-08-06 17:00:00.0000000,11261.35,11290.1,11250.35,11276.1,9477
2020-08-06 21:00:00.0000000,11275.85,11279.1,11191.6,11212.6,30198
2020-08-07 01:00:00.0000000,11212.35,11246.85,11196.1,11223.85,30483
2020-08-07 05:00:00.0000000,11224.1,11264.25,11196.6,11226.6,26188
2020-08-07 09:00:00.0000000,11226.85,11274.8,11142.95,11143.65,76823
2020-08-07 13:00:00.0000000,11143.15,11146.4,11041.95,11138.5,74171
2020-08-09 17:00:00.0000000,11132.9,11145.75,11080,11113.5,10964
2020-08-09 21:00:00.0000000,11113.25,11128.5,11092.5,11125.75,14379
2020-08-10 01:00:00.0000000,11126,11141.5,11102,11122.25,25325
2020-08-10 05:00:00.0000000,11122.5,11146,11116,11141,16612
2020-08-10 09:00:00.0000000,11141.25,11153.25,10935.35,11079.5,89144
2020-08-10 13:00:00.0000000,11080.25,11109.25,11047.6,11086.75,58620
2020-08-10 17:00:00.0000000,11076.6,11100.35,11065.6,11098.35,8231
2020-08-10 21:00:00.0000000,11098.6,11130.75,11093.6,11115.35,14895
2020-08-11 01:00:00.0000000,11115.1,11156.35,11095.1,11155.25,27442
2020-08-11 05:00:00.0000000,11155,11163.9,10994,11028.85,29496
